t_ms,t_sec_rel,q_w,q_x,q_y,q_z,roll_deg,pitch_deg,yaw_deg
,0.36,0.9942137242044281,0.10641986628011516,-0.014540259187428574,-0.001569562756409377,12.224358380985745,-1.6376323598134095,-0.3562815663146758
,0.365,0.9940420102122116,0.1080068546854238,-0.014605147936700475,-0.0013003568641850964,12.406934503653813,-1.6477882664112764,-0.32902313911351955
,0.37,0.9938667773693266,0.10960178558132987,-0.014670208027661568,-0.001030745030936238,12.59045483032206,-1.6580573900559235,-0.3017675882497754
,0.375,0.9936879818658368,0.11120468840887938,-0.014735442521452466,-0.0007607266140719582,12.77492371203302,-1.668440883242295,-0.2745155349803757
,0.38,0.9935055795671311,0.11281559147164354,-0.014800854528225113,-0.0004903010467841675,12.960345389325495,-1.6789399070052429,-0.2472676182700964
,0.385,0.9933195260126979,0.11443452199072043,-0.01486644720613112,-0.00021946783815551327,13.146723998834327,-1.6895556305351997,-0.22002449498460083
,0.39,0.9931276373059968,0.11604417911558683,-0.015206479711104571,-8.652857151342119e-05,13.332461514976744,-1.729670969233365,-0.21215540460387117
,0.395,0.9929319746048723,0.11766222558299273,-0.015546457607606956,4.619503503631312e-05,13.519203262488588,-1.7698054531609801,-0.20445622783279246
,0.4,0.9927324929933613,0.11928867677272605,-0.015886378201767987,0.00017870822077114325,13.706952361584541,-1.809958612116014,-0.19692746787488294
,0.405,0.9925291472164455,0.12092354762439518,-0.016226238770011375,0.0003110162447462513,13.895711904845086,-1.8501299691670459,-0.18956962774058586
,0.41,0.9923218916809897,0.12256685263219973,-0.016566036559115694,0.0004431243851784471,14.085484956899045,-1.8903190406345098,-0.18238321021114987
,0.415,0.9921106804568011,0.12421860583928988,-0.016905768786285098,0.0005750379388157157,14.276274554059672,-1.9305253360731687,-0.17536871780219138
,0.42,0.9919006400836058,0.12587800931578055,-0.016960486223915296,0.00043460266644838213,14.468316394565408,-1.9344236518548326,-0.19536078289900735
,0.425,0.9916868287526456,0.12754460184126487,-0.017015313647241712,0.000295501540002191,14.6612295897449,-1.938290803874311,-0.21523108010205513
,0.43,0.9914692004133749,0.12921844487127335,-0.017070244665191678,0.00015774594497097136,14.855022306730092,-1.942126486703788,-0.2349784580664612
,0.435,0.9912477087954152,0.13089959657007827,-0.01712527284242476,2.1347202441139025e-05,15.04970235621056,-1.9459303992086543,-0.254601764431235
,0.44,0.9910223074026144,0.1325881120139797,-0.0171803917023376,-0.0001136834232413718,15.245277216016417,-1.9497022453955686,-0.2740998452980907
